,id,geoid,population,below50pov,below125pov,below150pov,below185pov,below200pov,below300pov,below400pov,below500pov
61808,1400000US48029121204,"Census Tract 1212.04, Bexar County, Texas",7753,906,1689,2350,3043,3236,4994,6053,6731
61809,1400000US48029121205,"Census Tract 1212.05, Bexar County, Texas",4627,464,1552,2091,2383,2682,3838,4054,4326
61810,1400000US48029121206,"Census Tract 1212.06, Bexar County, Texas",8742,145,2009,2287,3501,3705,4691,5971,7008
61811,1400000US48029121300,"Census Tract 1213, Bexar County, Texas",6437,193,981,1175,1614,1699,2861,3586,4570
61812,1400000US48029121402,"Census Tract 1214.02, Bexar County, Texas",7500,284,1514,1951,2756,3006,4817,6031,6496
61813,1400000US48029121403,"Census Tract 1214.03, Bexar County, Texas",6068,226,1291,1798,2542,2834,4152,4765,5403
61814,1400000US48029121404,"Census Tract 1214.04, Bexar County, Texas",5494,1002,2585,2954,3070,3266,4327,4738,4984
61815,1400000US48029121501,"Census Tract 1215.01, Bexar County, Texas",9950,378,1578,2220,2625,2717,3879,5337,6862
61816,1400000US48029121504,"Census Tract 1215.04, Bexar County, Texas",6438,113,350,1235,1762,1961,2757,3475,4400
61817,1400000US48029121505,"Census Tract 1215.05, Bexar County, Texas",4840,224,541,780,1589,1943,2512,3367,4092
61818,1400000US48029121506,"Census Tract 1215.06, Bexar County, Texas",3954,479,815,1052,1396,1572,2353,2714,3015
61819,1400000US48029121507,"Census Tract 1215.07, Bexar County, Texas",4508,295,595,751,1475,1835,2877,3500,3734
61820,1400000US48029121508,"Census Tract 1215.08, Bexar County, Texas",4563,327,1669,1894,2272,2638,3348,3863,4099
61821,1400000US48029121601,"Census Tract 1216.01, Bexar County, Texas",5616,327,1277,1631,2099,2319,3732,4558,5046
61822,1400000US48029121604,"Census Tract 1216.04, Bexar County, Texas",9259,277,1449,2319,3012,3402,4359,5565,6864
61823,1400000US48029121605,"Census Tract 1216.05, Bexar County, Texas",2027,173,426,467,496,534,841,1362,1778
61824,1400000US48029121606,"Census Tract 1216.06, Bexar County, Texas",4995,364,601,826,1084,1123,2712,3704,4391
61825,1400000US48029121701,"Census Tract 1217.01, Bexar County, Texas",4630,216,701,908,1090,1179,2289,2900,3833
61826,1400000US48029121702,"Census Tract 1217.02, Bexar County, Texas",7839,69,1353,1709,1943,2029,2889,4321,5918
61827,1400000US48029121802,"Census Tract 1218.02, Bexar County, Texas",8346,353,1574,1598,2606,2975,4397,5873,6755
61828,1400000US48029121803,"Census Tract 1218.03, Bexar County, Texas",4983,315,855,950,1069,1217,2569,3213,4136
61829,1400000US48029121804,"Census Tract 1218.04, Bexar County, Texas",7158,1342,2365,2671,3198,3417,4228,5359,5937
61830,1400000US48029121808,"Census Tract 1218.08, Bexar County, Texas",3242,153,317,321,669,738,1069,1973,2264
61831,1400000US48029121809,"Census Tract 1218.09, Bexar County, Texas",5065,176,388,603,695,858,1726,2661,3481
61832,1400000US48029121810,"Census Tract 1218.10, Bexar County, Texas",4872,277,464,464,716,727,1550,2627,3108
