census_tract,cancer_percentage
48029181602,0.049
48029181703,0.059000000000000004
48029181704,0.051
48029181705,0.043
48029181711,0.046
48029181712,0.061
48029181713,0.051
48029181715,0.040999999999999995
48029181716,0.038
48029181718,0.051
48029181720,0.051
48029181721,0.045
48029181722,0.049
48029181723,0.044000000000000004
48029181724,0.040999999999999995
48029181725,0.036000000000000004
48029181726,0.034
48029181727,0.043
48029181728,0.034
48029181729,0.028999999999999998
48029181730,0.046
48029181731,0.051
48029181808,0.073
48029181809,0.044000000000000004
48029181811,0.06
48029181813,0.035
48029181814,0.040999999999999995
48029181815,0.05
48029181816,0.057999999999999996
48029181817,0.065
48029181818,0.059000000000000004
48029181819,0.037000000000000005
48029181820,0.012
48029181821,0.040999999999999995
48029181822,0.052000000000000005
48029181823,0.031
48029181824,0.04
48029181825,0.040999999999999995
48029181826,0.048
