state,epa_region,county,fips,tract,population,respiratory_hi,neurological_hi,liver_hi,developmental_hi,reproductive_hi,kidney_hi,ocular_hi,endocrine_hi,hematological_hi,immunological_hi,skeletal_hi,spleen_hi,thyroid_hi,whole_body_hi
TX,EPA Region 6,Bell,48027,48027021601,5080,0.3,0.01,0.009,0.02,0.02,0.004,8e-11,8e-07,4e-07,0.01,5e-07,0.0,7e-05,0.0001
TX,EPA Region 6,Bell,48027,48027021602,2499,0.3,0.01,0.009,0.02,0.02,0.004,8e-11,9e-07,4e-07,0.01,4e-07,0.0,6e-05,0.0001
TX,EPA Region 6,Bell,48027,48027021700,7338,0.3,0.02,0.009,0.02,0.02,0.004,8e-11,9e-07,4e-07,0.01,4e-07,0.0,8e-05,0.0001
TX,EPA Region 6,Bell,48027,48027021800,8440,0.3,0.01,0.009,0.01,0.02,0.003,8e-11,6e-07,4e-07,0.009,2e-06,0.0,0.0001,0.0001
TX,EPA Region 6,Bell,48027,48027021901,3463,0.3,0.02,0.01,0.02,0.02,0.006,2e-10,1e-06,9e-07,0.01,7e-07,0.0,0.0003,0.0001
TX,EPA Region 6,Bell,48027,48027021903,8350,0.3,0.02,0.01,0.02,0.02,0.006,2e-10,1e-06,9e-07,0.01,7e-07,0.0,0.0003,0.0001
TX,EPA Region 6,Bell,48027,48027021904,8823,0.3,0.01,0.01,0.02,0.02,0.005,2e-10,1e-06,7e-07,0.01,1e-06,0.0,0.0002,0.0001
TX,EPA Region 6,Bell,48027,48027022000,7952,0.3,0.02,0.01,0.02,0.02,0.005,2e-10,1e-06,7e-07,0.01,1e-06,0.0,0.0002,0.0001
TX,EPA Region 6,Bell,48027,48027022101,4256,0.3,0.02,0.01,0.02,0.02,0.005,2e-10,1e-06,8e-07,0.01,9e-07,0.0,0.0005,0.0001
TX,EPA Region 6,Bell,48027,48027022103,5518,0.3,0.02,0.01,0.02,0.02,0.005,1e-10,9e-07,7e-07,0.01,1e-06,0.0,0.0003,0.0001
TX,EPA Region 6,Bell,48027,48027022104,4399,0.3,0.02,0.01,0.02,0.02,0.005,2e-10,1e-06,8e-07,0.01,1e-06,0.0,0.0003,0.0001
TX,EPA Region 6,Bell,48027,48027022105,2317,0.3,0.01,0.01,0.02,0.02,0.005,1e-10,9e-07,7e-07,0.01,1e-06,0.0,0.0002,0.0001
TX,EPA Region 6,Bell,48027,48027022200,3258,0.3,0.02,0.01,0.02,0.02,0.006,2e-10,1e-06,8e-07,0.01,8e-07,0.0,0.0006,0.0001
TX,EPA Region 6,Bell,48027,48027022300,4010,0.3,0.02,0.01,0.02,0.03,0.006,2e-10,1e-06,9e-07,0.01,7e-07,0.0,0.0006,0.0001
TX,EPA Region 6,Bell,48027,48027022401,5567,0.3,0.02,0.01,0.02,0.03,0.006,2e-10,1e-06,9e-07,0.01,7e-07,0.0,0.0005,0.0001
